sku_id,category,true_base_demand,true_price_elasticity,true_promo_uplift_pct,true_display_uplift_pct,true_email_app_uplift_pct,true_seasonality_strength,true_weekend_effect_pct,true_stockout_lost_sales_factor,true_cannibalisation_factor,true_margin_impact_of_promotion,true_demand_trend_pct_per_year,data_generation_notes,true_realised_att_pct
SKU0063,Beverages,10.021,-1.1747,27.96,17.33,4.24,0.24,4.94,0.944,0.085,0.606,5.44,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",114.397
SKU0064,Health & Beauty,6.483,-0.6412,16.83,15.92,5.82,0.07,11.06,0.834,0.02,0.516,3.82,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",62.53
SKU0065,Household & Cleaning,11.239,-1.1436,15.97,17.18,7.24,0.07,5.67,0.894,0.035,0.235,-13.47,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0066,Snacks & Confectionery,9.377,-0.5867,26.52,7.27,8.92,0.14,3.83,0.943,0.084,0.278,-7.48,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",80.199
SKU0067,Bakery,15.879,-1.0569,26.3,13.59,3.5,0.14,17.17,0.762,0.075,0.271,30.0,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0068,Seasonal,6.505,-1.4775,31.79,12.88,10.99,0.24,3.39,0.7,0.048,0.401,-9.15,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",126.046
SKU0069,Beverages,25.496,-1.878,38.95,16.57,4.15,0.24,9.18,0.924,0.045,0.565,-15.17,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",179.82
SKU0070,Household & Cleaning,3.535,-0.498,17.31,16.33,5.0,0.07,17.46,0.792,0.022,0.34,2.22,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",55.159
SKU0071,Fresh Produce,23.09,-1.4547,32.66,7.35,8.01,0.24,16.12,0.809,0.033,0.42,-10.23,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",126.957
SKU0072,Ambient Grocery,4.784,-0.6066,19.72,7.21,7.3,0.07,10.02,0.798,0.029,0.74,3.68,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",65.392
SKU0073,Bakery,11.637,-0.9275,27.79,7.75,7.56,0.14,9.66,0.775,0.054,0.57,-6.36,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",93.544
SKU0074,Snacks & Confectionery,20.158,-0.5068,38.99,9.68,4.59,0.14,17.32,0.943,0.047,0.663,-21.2,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",87.378
SKU0075,Ambient Grocery,16.354,-1.0571,17.52,16.08,9.02,0.07,7.47,0.882,0.05,0.201,16.38,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",74.288
SKU0076,Health & Beauty,2.078,-0.6414,19.35,13.18,7.8,0.07,11.26,0.787,0.098,0.542,-9.81,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",60.802
SKU0077,Ambient Grocery,4.83,-1.1146,18.49,9.45,3.51,0.07,8.25,0.753,0.073,0.683,13.9,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",77.213
SKU0078,Household & Cleaning,6.986,-0.9754,17.4,14.04,4.19,0.07,16.94,0.809,0.028,0.296,-0.96,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",70.956
SKU0079,Beverages,32.876,-1.9071,28.63,13.95,4.25,0.24,5.91,0.964,0.032,0.21,-23.69,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",150.116
SKU0080,Dairy & Eggs,23.909,-0.5502,22.16,9.91,4.03,0.14,17.73,0.903,0.088,0.614,-0.83,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",70.066
SKU0081,Frozen,3.055,-1.1249,17.86,9.89,8.74,0.14,13.75,0.985,0.065,0.362,-9.2,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",75.033
SKU0082,Frozen,9.781,-1.046,19.92,11.12,9.33,0.14,11.77,0.703,0.066,0.548,0.04,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",70.893
SKU0083,Snacks & Confectionery,14.635,-0.6322,31.21,12.89,6.8,0.14,10.97,0.72,0.092,0.701,-5.01,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0084,Beverages,6.695,-1.6785,33.43,6.69,7.78,0.24,9.44,0.913,0.024,0.591,2.51,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",142.798
SKU0085,Snacks & Confectionery,6.936,-0.5078,34.9,13.53,4.81,0.14,9.61,0.951,0.068,0.238,8.52,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",90.809
SKU0086,Household & Cleaning,11.587,-1.0284,17.21,13.7,7.92,0.07,3.16,0.882,0.079,0.623,1.92,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",77.095
SKU0087,Dairy & Eggs,16.739,-0.4627,29.51,11.06,4.44,0.14,9.31,0.721,0.029,0.568,-6.53,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",77.838
SKU0088,Seasonal,11.948,-1.509,35.83,6.58,7.5,0.24,8.87,0.939,0.083,0.407,-21.26,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",132.294
SKU0089,Snacks & Confectionery,6.549,-0.5743,28.33,12.96,3.65,0.14,9.52,0.755,0.091,0.445,2.04,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",84.791
SKU0090,Health & Beauty,1.393,-1.0843,7.84,9.46,4.62,0.07,16.68,0.94,0.031,0.611,-4.45,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",48.69
SKU0091,Bakery,11.745,-1.0192,14.54,12.34,4.04,0.14,6.15,0.909,0.041,0.691,9.95,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0092,Ambient Grocery,17.05,-0.5811,21.89,13.38,9.95,0.07,8.43,0.865,0.061,0.697,-13.15,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",72.782
SKU0093,Frozen,3.61,-0.9233,19.6,15.05,5.96,0.14,16.01,0.812,0.034,0.521,25.91,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",74.671
SKU0094,Health & Beauty,6.3,-0.5343,25.04,6.84,4.56,0.07,14.54,0.968,0.064,0.258,9.56,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0095,Ambient Grocery,16.42,-0.5568,22.1,14.99,5.33,0.07,4.86,0.97,0.088,0.23,-3.95,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",73.504
SKU0096,Seasonal,7.219,-1.8423,26.31,6.76,9.07,0.24,11.04,0.824,0.092,0.662,1.94,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",119.138
SKU0097,Dairy & Eggs,15.938,-0.4624,8.86,15.27,7.4,0.14,17.75,0.906,0.028,0.309,1.96,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",40.734
SKU0098,Ambient Grocery,16.95,-1.1733,23.37,7.18,3.8,0.07,14.45,0.719,0.025,0.689,13.74,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",78.599
SKU0099,Household & Cleaning,7.682,-0.6095,22.33,13.81,5.58,0.07,16.59,0.79,0.042,0.688,9.78,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",78.516
SKU0100,Fresh Produce,24.976,-1.7574,38.68,7.87,10.62,0.24,12.19,0.9,0.093,0.409,-4.84,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",163.495
SKU0101,Frozen,6.177,-1.133,20.16,15.45,10.18,0.14,13.2,0.72,0.035,0.725,-6.7,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",87.85
SKU0102,Beverages,16.971,-0.6428,39.79,6.44,6.06,0.24,14.4,0.926,0.027,0.535,-19.44,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",101.708
SKU0103,Fresh Produce,13.474,-1.4379,32.44,8.88,3.43,0.24,4.2,0.973,0.08,0.713,-7.47,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",127.056
SKU0104,Household & Cleaning,6.682,-1.0387,18.12,10.3,7.93,0.07,8.27,0.924,0.084,0.682,-19.06,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",71.435
SKU0105,Ambient Grocery,15.7,-0.9528,19.14,8.68,3.3,0.07,13.62,0.865,0.078,0.248,1.89,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",74.764
SKU0106,Bakery,19.997,-0.6481,23.35,11.58,9.93,0.14,6.65,0.921,0.09,0.648,-0.25,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",71.806
SKU0107,Snacks & Confectionery,15.057,-0.6117,31.98,15.84,8.53,0.14,4.99,0.734,0.082,0.544,-3.43,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",91.764
SKU0108,Ambient Grocery,16.768,-1.0573,22.57,13.92,6.17,0.07,9.21,0.882,0.081,0.51,26.64,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",76.698
SKU0109,Beverages,28.336,-1.6552,36.07,14.46,9.64,0.24,3.94,0.926,0.061,0.241,-21.38,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",159.931
SKU0110,Beverages,17.497,-0.5854,35.91,12.28,9.35,0.24,7.5,0.761,0.048,0.426,8.48,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",90.262
SKU0111,Snacks & Confectionery,19.2,-1.7664,37.91,14.65,4.39,0.14,8.49,0.748,0.075,0.336,-0.3,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",150.156
SKU0112,Frozen,13.835,-1.0596,37.07,14.05,5.39,0.14,7.99,0.896,0.064,0.253,-9.0,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",117.989
SKU0113,Bakery,25.526,-1.1914,32.75,11.68,4.59,0.14,8.65,0.8,0.042,0.512,-2.37,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",117.474
SKU0114,Snacks & Confectionery,11.604,-1.6276,38.58,17.3,4.76,0.14,4.5,0.936,0.1,0.675,6.05,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",162.362
SKU0115,Fresh Produce,25.089,-1.3671,28.69,6.52,9.57,0.24,11.72,0.854,0.064,0.339,-14.37,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",119.937
SKU0116,Snacks & Confectionery,21.595,-0.5701,25.28,13.75,8.88,0.14,13.1,0.8,0.086,0.594,-7.42,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",76.986
SKU0117,Ambient Grocery,10.403,-0.4764,16.16,13.65,5.32,0.07,4.79,0.746,0.033,0.463,12.55,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0118,Ambient Grocery,17.116,-1.0906,15.99,14.55,5.25,0.07,7.67,0.767,0.083,0.728,-7.32,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",80.513
SKU0119,Dairy & Eggs,13.51,-0.5485,25.45,9.13,4.26,0.14,15.64,0.725,0.097,0.524,0.04,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",67.265
SKU0120,Seasonal,13.813,-1.6605,37.93,6.33,9.22,0.24,4.75,0.952,0.062,0.234,-12.51,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0121,Snacks & Confectionery,7.545,-1.8479,25.22,7.66,9.38,0.14,9.97,0.964,0.071,0.543,8.55,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",131.077
SKU0122,Ambient Grocery,11.726,-0.9715,15.6,17.53,3.84,0.07,10.94,0.782,0.041,0.527,-4.02,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",72.537
SKU0123,Bakery,11.259,-1.1626,36.85,16.43,5.34,0.14,9.99,0.703,0.08,0.366,-8.74,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",124.8
SKU0124,Beverages,18.736,-1.6865,27.42,15.83,9.54,0.24,16.16,0.714,0.099,0.336,1.2,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",125.313
